[2020-08-13T18:07:00.535816+03:00] JiraClient.ERROR: CURL Error: http response=0,  [] []
[2020-08-13T18:07:57.729183+03:00] JiraClient.ERROR: CURL Error: http response=0,  [] []
[2020-08-13T18:08:28.829515+03:00] JiraClient.ERROR: CURL Error: http response=0,  [] []
[2020-08-13T18:08:30.457982+03:00] JiraClient.ERROR: CURL Error: http response=0,  [] []
[2020-08-13T18:08:31.302789+03:00] JiraClient.ERROR: CURL Error: http response=0,  [] []
[2020-08-13T18:08:43.294528+03:00] JiraClient.ERROR: CURL Error: http response=0,  [] []
[2020-08-13T18:08:44.564342+03:00] JiraClient.ERROR: CURL Error: http response=0,  [] []
[2020-08-13T18:12:39.775689+03:00] JiraClient.ERROR: CURL Error: http response=0,  [] []
[2020-08-13T18:12:41.425910+03:00] JiraClient.ERROR: CURL Error: http response=0,  [] []
[2020-08-13T18:12:42.072368+03:00] JiraClient.ERROR: CURL Error: http response=0,  [] []
[2020-08-13T18:12:56.921310+03:00] JiraClient.ERROR: CURL Error: http response=0,  [] []
[2020-08-13T18:12:58.060420+03:00] JiraClient.ERROR: CURL Error: http response=0,  [] []
[2020-08-13T18:13:19.252381+03:00] JiraClient.ERROR: CURL Error: http response=0,  [] []
[2020-08-13T18:13:21.642207+03:00] JiraClient.ERROR: CURL Error: http response=0,  [] []
[2020-08-13T18:13:22.284391+03:00] JiraClient.ERROR: CURL Error: http response=0,  [] []
[2020-08-13T18:13:23.313369+03:00] JiraClient.ERROR: CURL Error: http response=0,  [] []
[2020-08-13T18:14:09.978095+03:00] JiraClient.ERROR: CURL Error: http response=0,  [] []
[2020-08-13T18:14:11.269887+03:00] JiraClient.ERROR: CURL Error: http response=0,  [] []
[2020-08-13T18:14:12.354264+03:00] JiraClient.ERROR: CURL Error: http response=0,  [] []
[2020-08-13T18:14:29.687347+03:00] JiraClient.ERROR: CURL Error: http response=0,  [] []
[2020-08-13T18:26:24.750802+03:00] JiraClient.ERROR: CURL Error: http response=0,  [] []
[2020-08-13T18:28:11.569356+03:00] JiraClient.ERROR: CURL Error: http response=0,  [] []
[2020-08-13T18:28:12.187439+03:00] JiraClient.ERROR: CURL Error: http response=0,  [] []
[2020-08-13T18:28:12.489003+03:00] JiraClient.ERROR: CURL Error: http response=0,  [] []
[2020-08-13T18:28:12.649692+03:00] JiraClient.ERROR: CURL Error: http response=0,  [] []
[2020-08-13T18:28:12.902170+03:00] JiraClient.ERROR: CURL Error: http response=0,  [] []
[2020-08-13T18:28:38.727993+03:00] JiraClient.ERROR: CURL Error: http response=0,  [] []
[2020-08-13T18:28:41.790792+03:00] JiraClient.ERROR: CURL Error: http response=0,  [] []
[2020-08-13T18:29:56.700792+03:00] JiraClient.ERROR: CURL Error: http response=0,  [] []
[2020-08-13T18:31:53.699308+03:00] JiraClient.ERROR: CURL Error: http response=0,  [] []
[2020-08-13T18:31:54.502759+03:00] JiraClient.ERROR: CURL Error: http response=0,  [] []
